Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,2,1.724
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,3,2.343
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,4,3.004
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,16,5,3.499
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,13,6,3.304
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,2,7,3.067
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,Kenya_sub,1998,Kenya,A,15000,Kansas,16,0,8,
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,8,1,3.15
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,8,2,6.463
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,8,3,8.502
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,7,4,9.476
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,3,5,8.238
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,3,6,7.208
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,0,7,
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,15000,Kansas,8,0,8,
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,8,1,1.7
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,8,2,4.313
