Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,8,
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,1,5.06
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,2,8.717
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,3,9.629
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,3,4,9.932
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,2,5,9.74
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,1,6,8.209
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,1,7,2.512
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,0,8,
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,1,4.992
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,2,7.689
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,3,9.005
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,4,9.692
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,5,6.64
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,6,6.325
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,7,5.852
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,8,
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,6,1,4.899
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,6,2,7.252
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,6,3,6.547
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,3,4,7.626
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,2,5,6.933
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,2,6,1.7
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,2,7,
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tabasco,2003,Southern Mexico,B,100000,Mexico,6,0,8,
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,6,1,5.845
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,6,2,8.403
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,5,3,9.415
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,3,4,9.48
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,2,5,5.856
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,2,6,2.834
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,2,7,2.156
Guerrero-Sanchez et al. 2011,House sparrow,Passeridae,Passeriformes,House sparrow,Tecate,2004,Northern Mexico,C,100000,Mexico,6,0,8,
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,1,5.0125
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,2,6.572
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,3,4.7485
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,4,3.804
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,5,2.302
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,6,
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,7,
Kilpatrick et al. 2010,American robin,Turdidae,Passeriformes,American robin,WN02,2003,New York,C,10000,New York,2,2,8,
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,1,4.157
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,2,7.355
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,3,9.006
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,4,10.307
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,10,5,9.981
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,8,6,9.787
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,8,7,
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,0,8,
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,1,4.592
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,2,8.008
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,3,7.649
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,4,6.03
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,9,5,5.057
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,2,6,4.698
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,0,7,
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,0,8,
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,1,3.198
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,2,6.497
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,3,8.473
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,4,9.485
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,5,5,8.212
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,1,6,7.18
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,0,7,
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,0,8,
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,1,1.7
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,2,1.828
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,3,2.71
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,4,4.469
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,5,5.168
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,6,4.883
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,7,3.822
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,15,8,
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,1,6.069
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,2,8.698
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,3,10.387
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,1,4,10.314
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,5,
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,6,
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,7,
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,8,
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,1,5.124
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,2,6.806
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,3,6.988
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,4,6.11
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,5,5.196
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,10,6,5.103
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,8,7,2.295
Kipp et al. 2006,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,4000,Kansas,10,6,8,0.933
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,1,1.7
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,2,3.4
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,3,4.5
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,4,4.6
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,5,2.8
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,6,1.7
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,7,1.7
Komar et al. 2003,American coot,Rallidae,Gruiformes,Other,NY99,1999,New York,B,10000,New York,1,1,8,
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,1,5.8
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,2,8.7
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,3,9.9
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,6,4,10.2
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,3,5,10.8
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,6,
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,7,
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,8,
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,1,6.2
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,2,8.4
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,3,6.6
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,4,3.8
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,5,2
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,6,1.7
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,7,1.7
Komar et al. 2003,American kestrel,Falconidae,Falconiformes,Other,NY99,1999,New York,B,10000,New York,2,2,8,
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,1,5.8
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,2,8.9
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,3,7.3
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,4,4.6
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,5,2
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,6,1.7
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,7,1.7
Komar et al. 2003,American robin,Turdidae,Passeriformes,American robin,NY99,1999,New York,B,10000,New York,2,2,8,
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,3,1,5.3
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,3,2,8.3
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,3,3,8.8
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,3,4,4.9
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,3,5,4
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,0,6,
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,0,7,
Komar et al. 2003,Black-billed magpie,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,3,0,8,
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,4,1,8.5
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,4,2,11.1
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,4,3,12.1
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,3,4,10.5
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,1,5,2.2
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,1,6,1.7
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,1,7,1.7
Komar et al. 2003,Blue jay,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,4,0,8,
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,1,2.3
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,2,1.9
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,3,2.8
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,4,2.9
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,5,2.1
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,6,1.7
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,7,1.7
Komar et al. 2003,Budgerigar,Psittacidae,Psittaciformes,Other,NY99,1999,New York,B,10000,New York,3,3,8,
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,1,2.8
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,2,5.3
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,3,4.5
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,4,3.4
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,5,1.9
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,6,1.7
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,7,1.7
Komar et al. 2003,Canada goose,Anatidae,Anseriformes,Other,NY99,1999,New York,B,10000,New York,3,3,8,
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,1,6.1
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,2,10.2
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,3,11.8
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,5,4,11.8
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,4,5,1.7
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,4,6,1.7
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,4,7,1.7
Komar et al. 2003,Common grackle,Icteridae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,0,8,
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,1,5.3
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,2,6.1
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,3,4.9
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,4,2.3
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,5,1.7
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,6,1.7
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,7,1.7
Komar et al. 2003,European starling,Sturnidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,6,6,8,
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,9,1,5.4
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,9,2,6.8
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,9,3,7.8
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,9,4,8.9
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,9,5,8.5
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,8,6,4
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,8,7,1.7
Komar et al. 2003,Fish crow,Corvidae,Passeriformes,Other,NY99,1999,New York,B,10000,New York,9,0,8,
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,1,3.9
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,2,6.2
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,3,7.6
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,4,6
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,5,5.6
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,6,3.5
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,7,1.7
Komar et al. 2003,Great horned owl,Strigidae,Strigiformes,Other,NY99,1999,New York,B,10000,New York,1,1,8,
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,1,5.4
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,2,5.8
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,3,8.8
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,4,6.6
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,5,6
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,1,6,6.2
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,1,7,6.3
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,0,8,
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,6,1,7.8
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,6,2,9.8
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,5,3,10.3
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,5,4,10.3
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,4,5,8.4
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,3,6,1.8
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,3,7,1.7
Komar et al. 2003,House sparrow,Passeridae,Passeriformes,House sparrow,NY99,1999,New York,B,10000,New York,6,3,8,
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,1,1.7
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,2,1.7
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,3,2.8
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,4,3.4
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,5,3.1
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,6,2.2
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,7,1.7
Komar et al. 2003,Japanese quail,Phasianidae,Galliformes,Other,NY99,1999,New York,B,10000,New York,3,3,8,
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,1,6.2
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,2,7.5
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,3,8.1
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,4,4.9
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,5,2.6
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,6,1.7
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,7,1.7
Komar et al. 2003,Killdeer,Charadriidae,Charadriiformes,Other,NY99,1999,New York,B,10000,New York,2,2,8,
