Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Survival
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,4,1
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,5,1
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,11,6,0.6875
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,6,7,0.375
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,0,8,0
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,1,1
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,2,1
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,3,1
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,4,1
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,2,5,1
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,1,6,0.5
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,1,7,0.5
Komar et al. 2003,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,New York,2,0,8,0
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,California,8,8,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249H,1999,New York,D,1500,California,8,8,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249D,1999,New York,E,1500,California,8,8,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249A,1999,New York,A,1500,California,8,8,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249T,1999,New York,A,1500,California,8,8,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249P,1999,New York,A,1500,Colorado,4,4,8,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,1,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,2,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,3,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,4,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,5,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,6,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,7,1
Langevin et al. 2014,House finch,Fringillidae,Passeriformes,House finch,NS3-249N,1999,New York,D,1500,Colorado,4,4,8,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,1,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,2,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,3,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,13,4,0.8125
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,10,5,0.625
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,7,6,0.4375
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,6,7,0.375
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,0,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,1,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,2,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,16,3,1
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,13,4,0.8125
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,10,5,0.625
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,7,6,0.4375
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,6,7,0.375
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,1000,California,16,0,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,1,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,2,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,3,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,4,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,3,5,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,2,6,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,1,7,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,1,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,1,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,2,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,3,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,4,4,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,3,5,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,2,6,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,1,7,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1.99526231496888,California,4,0,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,4,1,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,4,2,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,4,3,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,3,4,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,2,5,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,1,6,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,0,7,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,3.98107170553497,California,4,0,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,4,1,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,4,2,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,4,3,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,4,4,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,3,5,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,3,6,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,3,7,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,199.526231496888,California,4,3,8,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,4,1,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,4,2,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,4,3,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,3,4,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,2,5,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,1,6,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,1,7,
Reisen et al. 2005,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,10000,California,4,1,8,
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,1,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,2,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,3,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,4,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,5,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,6,6,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,5,7,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV997,2003,California,C,1000,California,6,5,8,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,6,1,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,6,2,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,6,3,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,6,4,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,6,5,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,5,6,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,4,7,0.666666666666667
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,SAC047168 (CA04),2004,California,C,1000,California,6,4,8,0.666666666666667
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,1,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,2,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,3,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,4,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,5,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,6,6,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,5,7,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,COAV9975nt,2003,California,C,1000,California,6,5,8,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,6,1,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,6,2,1
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,5,3,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,5,4,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,5,5,0.833333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,3,6,0.5
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,2,7,0.333333333333333
Worwa et al. 2015,House finch,Fringillidae,Passeriformes,House finch,NY99,1999,New York,B,1000,California,6,2,8,0.333333333333333
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,9,1,1
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,9,2,1
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,8,3,0.888888888888889
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,2,4,0.222222222222222
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,1,5,0.111111111111111
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,1,6,0.111111111111111
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,,,7,
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,,,8,
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,1,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,2,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,3,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,3,4,0.75
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,2,5,0.5
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,1,6,0.25
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,1,7,0.25
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,0,8,
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,1,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,2,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,3,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,4,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,5,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,6,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,7,1
Guerrero-Sanchez et al. 2011,Great-tailed grackle,Icteridae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,3,3,8,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,1,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,2,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,3,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,4,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,5,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,6,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,7,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tabasco,2003,Southern Mexico,B,100000,Mexico,4,4,8,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,1,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,2,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,3,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,4,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,5,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,6,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,7,1
Guerrero-Sanchez et al. 2011,Clay-colored thrush,Turdidae,Passeriformes,Other,Tecate,2004,Northern Mexico,C,100000,Mexico,4,4,8,1
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,1,1
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,2,1
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,3,1
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,11,4,1
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,10,5,0.909090909090909
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,8,6,0.727272727272727
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,8,7,
Kilpatrick et al. 2013,Carolina wren,Troglodytidae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,11,0,8,
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,1,1
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,2,1
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,3,1
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,12,4,1
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,9,5,0.75
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,2,6,0.166666666666667
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,0,7,0
Kilpatrick et al. 2013,Tufted titmouse,Paridae,Passeriformes,Other,WN02,2003,California,C,10000,Maryland,12,0,8,
