Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Survival
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,1,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,2,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,3,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,4,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,5,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,7,6,0.875
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,6,7,0.75
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,6,8,0.75
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,1,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,2,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,3,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,4,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,6,5,0.75
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,6,0
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,7,0
