1979.96501343  30.6896551724
1981.10091058  30.8620689655
1982.04554784  31.724137931
1982.99531647  30.6896551724
1984.03884908  30
1985.07771682  31.0344827586
1986.01675623  33.9655172414
1987.06355426  32.0689655172
1988.00072772  35.6896551724
1988.95749366  32.0689655172
1989.9926295  34.4827586207
1991.02869831  36.5517241379
1991.88283699  35.8620689655
1992.92450366  35.8620689655
1993.96290491  37.0689655172
1994.90754217  37.9310344828
1996.04203986  38.6206896552
1996.89291312  39.1379310345
1997.83288551  41.724137931
1998.87595163  41.2068965517
1999.82105538  41.8965517241
2000.864588  41.2068965517
2001.912319  38.9655172414
2002.86768548  35.8620689655
2003.83658009  27.7586206897
2004.87171593  30.1724137931
1979.97341021  27.5862068966
1981.10884087  27.9310344828
1982.05441111  28.4482758621
1983.00324675  27.7586206897
1984.04677937  27.0689655172
1985.08564711  28.1034482759
1986.02515301  30.8620689655
1986.97678758  29.1379310345
1988.00959098  32.4137931034
1988.96495746  29.3103448276
1990.09665622  31.0344827586
1990.94333109  33.1034482759
1991.89216674  32.4137931034
1992.93243395  32.9310344828
1993.97176817  33.7931034483
1994.91687192  34.4827586207
1996.05323556  34.4827586207
1996.90224287  35.6896551724
1997.84408121  37.5862068966
1998.97951187  37.9310344828
1999.92601508  38.1034482759
2000.87485072  37.4137931034
2001.9197828  36.2068965517
2002.87701523  32.4137931034
2003.84404389  25
2004.97434319  27.2413793103
1979.95615017  33.9655172414
1980.99781684  33.9655172414
1982.03715107  34.8275862069
1982.98738618  33.6206896552
1984.03231826  32.4137931034
1985.07071951  33.6206896552
1985.81849903  37.2413793103
1986.96139349  34.8275862069
1987.99139797  39.1379310345
1988.85579937  34.6551724138
1989.89046873  37.2413793103
1991.01983505  39.8275862069
1991.87444021  38.9655172414
1992.91470742  39.4827586207
1993.95404165  40.3448275862
1994.89774593  41.5517241379
1995.93801314  42.0689655172
1996.88358337  42.5862068966
1997.82308927  45.3448275862
1998.96038588  45
1999.80985968  46.0344827586
2000.76056128  44.6551724138
2001.99815271  42.2413793103
2002.85788924  39.4827586207
2003.73535229  30.1724137931
2004.86378564  33.1034482759
